Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Activity
01-05-2022,"1,317","3,539",2.41,0,"1,395",85,0,0,175,Walk
02-05-2022,"1,317","1,906",1.93,0,"1,395",120,0,0,213,Walk
03-05-2022,"1,317","1,906",1.93,0,"1,440",0,0,0,150,Run
04-05-2022,"1,399","3,539",2.41,0,"1,350",90,0,0,165,Walk
05-05-2022,"2,058",0,0,0,"1,170",0,270,0,988,Bike
06-05-2022,"1,357","2,123",1.45,0,"1,395",45,0,0,82,Walk
07-05-2022,"2,050","2,700",2.74,0,"1,300",0,45,95,861,Run
08-05-2022,"1,442",0,0,0,"1,394",0,46,0,167,Swim
09-05-2022,"1,606",0,0,0,"1,335",0,105,0,385,Bike
10-05-2022,"1,605","1,906",1.93,0,"1,395",0,0,45,330,Swim
11-05-2022,"1,400","4,719",3.22,0,"1,380",60,0,0,138,Run
12-05-2022,"1,728",0,0,0,"1,290",0,150,0,549,Walk
13-05-2022,"1,358","2,831",1.93,0,"1,395",45,0,0,83,Swim
14-05-2022,"1,399","3,067",2.09,0,"1,350",90,0,0,165,Walk
15-05-2022,"1,414","7,079",4.83,0,"1,335",105,0,0,193,Walk
16-05-2022,"1,728",0,0,0,"1,290",0,150,0,549,Walk
17-05-2022,"1,394","4,247",2.9,0,"1,410",0,30,0,105,Bike
18-05-2022,"1,409","4,719",3.22,0,"1,389",51,0,0,139,Walk
19-05-2022,"2,073","9,438",6.44,0,"1,065",150,225,0,"1,099",Walk
20-05-2022,"1,807","3,539",2.41,0,"1,205",85,150,0,705,Bike
21-05-2022,944,"1,903",1.4,0,"1,033",0,35,0,390,Walk
